No.;Street Number;Street Name;Household Owner;Household Code;Coordinate
1;530;"Lorong Bachok";Caesar Law;Caesar_Law;1.313975,103.879763
2;797;"Geylang East Avenue 1";Tony Tony Fishman;Tony_Tony_Fishman;1.317689,103.885652
3;761;"Aljunied Road";Koala Revo;Koala_Revo;1.329290,103.879483
4;112;"Lorong 33 Geylang";Tony Tony Hancock;Tony_Tony_Hancock;1.316027,103.888000
5;542;"Geylang East Avenue 2";Yamato Ace;Yamato_Ace;1.316929,103.888472
6;901;"Lorong 38 Geylang";Arlong Vivi;Arlong_Vivi;1.313951,103.888916
7;484;"Geylang East Central";Crocodile Red-Haired;Crocodile_RedHaired;1.320271,103.887383
8;375;"Sims Avenue";Yamato Teach;Yamato_Teach;1.316329,103.889188
9;703;"Geylang East Avenue 2";Brook Dancer;Brook_Dancer;1.316305,103.888140
10;370;"Aljunied Road";Arlong (Okama);Arlong_Okama;1.329290,103.879483
11;56;"Guillemard Road";Urouge Sanji;Urouge_Sanji;1.311185,103.885307
12;803;"Lorong 38 Geylang";Shanks Star Clown;Shanks_Star_Clown;1.314268,103.888856
13;312;"Aljunied Road";Brook Mihawk;Brook_Mihawk;1.322887,103.881316
14;476;"Lorong 40 Geylang";Tony Tony Chopper;Tony_Tony_Chopper;1.312992,103.889933
15;240;"Geylang Road";Shanks Gang Bege;Shanks_Gang_Bege;1.316096,103.897248
16;435;"Lorong 10 Geylang";Tony Tony Mihawk;Tony_Tony_Mihawk;1.311505,103.877669
17;857;"Geylang Road";Capone Ace;Capone_Ace;1.314322,103.888354
18;353;"Geylang East Avenue 1";Jewelry God;Jewelry_God;1.316649,103.885158
19;717;"Lorong 38 Geylang";Bentham Kid;Bentham_Kid;1.314268,103.888856
20;12;"Jalan Satu";Kozuki Sanji;Kozuki_Sanji;1.308453,103.889060
21;502;"Geylang East Central";Buggy Onigashima;Buggy_Onigashima;1.320271,103.887383
22;480;"Jalan Satu";Nico God;Nico_God;1.308453,103.889060
23;263;"Tanjong Katong Road";Vinsmoke Sir;Vinsmoke_Sir;1.307772,103.895571
24;795;"Sims Avenue";Nekomamushi Marine;Nekomamushi_Marine;1.310484,103.870335
25;20;"Lorong 10 Geylang";Portgas D. Mermaid Princess;Portgas_D_Mermaid_Princess;1.311505,103.877669
26;915;"Jalan Dua";Bentham Mad Monk;Bentham_Mad_Monk;1.308984,103.887473
27;631;"Geylang Road";Dracule Teach;Dracule_Teach;1.311765,103.875771
28;568;"Geylang East Avenue 1";Vinsmoke Hancock;Vinsmoke_Hancock;1.316649,103.885158
29;356;"Geylang Road";Buggy Zoro;Buggy_Zoro;1.312682,103.880948
30;693;"Geylang East Avenue 2";Tony Tony Marine;Tony_Tony_Marine;1.316305,103.888140
31;343;"Lorong 10 Geylang";Boa Vivi;Boa_Vivi;1.311505,103.877669
32;360;"Tanjong Katong Road";Dracule Marine;Dracule_Marine;1.305358,103.896144
33;866;"Lorong 25 Geylang";Portgas D. Gang Bege;Portgas_D_Gang_Bege;1.313488,103.882843
34;705;"Geylang East Central";Dracule Dancer;Dracule_Dancer;1.320271,103.887383
35;503;"Lorong 25 Geylang";Arlong Fishman;Arlong_Fishman;1.315701,103.882550
36;427;"Lorong 40 Geylang";Vinsmoke Bonney;Vinsmoke_Bonney;1.312992,103.889933
37;149;"Lorong 22 Geylang";X. Drake Sir;X_Drake_Sir;1.311354,103.882128
38;894;"Lorong 16 Geylang";Inuarashi Fishman;Inuarashi_Fishman;1.311786,103.879886
39;484;"Jalan Satu";Jewelry Star Clown;Jewelry_Star_Clown;1.308453,103.889060
40;22;"Lorong 16 Geylang";Kozuki Mad Monk;Kozuki_Mad_Monk;1.311786,103.879886
41;325;"Lorong 12 Geylang";Inuarashi Cat Viper;Inuarashi_Cat_Viper;1.311688,103.878273
42;195;"Lorong 10 Geylang";Marshall D. Hancock;Marshall_D_Hancock;1.311505,103.877669
43;275;"Lorong 28 Geylang";Sabo Cyborg;Sabo_Cyborg;1.312948,103.885577
44;714;"Jalan Dua";Inuarashi Dancer;Inuarashi_Dancer;1.308984,103.887473
45;663;"Lorong Bachok";Portgas D. Star Clown;Portgas_D_Star_Clown;1.313975,103.879763
46;553;"Lorong Bachok";Marshall D. Vivi;Marshall_D_Vivi;1.313975,103.879763
47;998;"Jalan Satu";Inuarashi Mad Monk;Inuarashi_Mad_Monk;1.308453,103.889060
48;530;"Guillemard Road";Roronoa Revo;Roronoa_Revo;1.310910,103.884459
49;349;"Aljunied Road";Arlong Cat Viper;Arlong_Cat_Viper;1.329290,103.879483
50;780;"Lorong 10 Geylang";Roronoa Mad Monk;Roronoa_Mad_Monk;1.311505,103.877669
51;659;"Lorong 10 Geylang";Donquixote Gladiator;Donquixote_Gladiator;1.311060,103.877770
52;69;"Jalan Enam";Kozuki Vivi;Kozuki_Vivi;1.307526,103.885526
53;870;"Lorong 33 Geylang";Enel Luffy;Enel_Luffy;1.315599,103.887786
54;96;"Lorong Bachok";Arlong God;Arlong_God;1.313942,103.879613
55;795;"Geylang East Central";Yamato Gladiator;Yamato_Gladiator;1.320271,103.887383
56;19;"Lorong 28 Geylang";Shanks Bonney;Shanks_Bonney;1.312279,103.885597
57;198;"Guillemard Road";Brook Red-Haired;Brook_RedHaired;1.310403,103.882010
58;976;"Sims Avenue";Enel Sanji;Enel_Sanji;1.319128,103.904389
59;358;"Guillemard Road";Roronoa Mermaid Princess;Roronoa_Mermaid_Princess;1.310882,103.883859
60;449;"Lorong 28 Geylang";X. Drake Bonney;X_Drake_Bonney;1.312589,103.885594
61;362;"Lorong 22 Geylang";Buggy Sanji;Buggy_Sanji;1.310695,103.882132
62;374;"Lorong 22 Geylang";Kozuki Revo;Kozuki_Revo;1.310695,103.882132
63;732;"Lorong 33 Geylang";Roronoa Teach;Roronoa_Teach;1.314985,103.887829
64;31;"Lorong 12 Geylang";Yamato Red-Haired;Yamato_RedHaired;1.310388,103.878782
65;300;"Lorong Bachok";Portgas D. Hancock;Portgas_D_Hancock;1.313942,103.879613
66;441;"Jalan Dua";Enel Sir;Enel_Sir;1.308992,103.887518
67;644;"Geylang East Central";Eustass Ace;Eustass_Ace;1.320271,103.887383
68;875;"Aljunied Road";Marshall D. Fishman;Marshall_D_Fishman;1.325398,103.880874
69;574;"Jalan Satu";Monkey D. Katakuri;Monkey_D_Katakuri;1.308417,103.889067
70;260;"Lorong 38 Geylang";Trafalgar D. Duke;Trafalgar_D_Duke;1.314343,103.888842
71;715;"Lorong 16 Geylang";Trafalgar D. Cat Viper;Trafalgar_D_Cat_Viper;1.311263,103.879935
72;245;"Lorong 16 Geylang";Yamato Law;Yamato_Law;1.311263,103.879935
73;363;"Jalan Enam";Nekomamushi Cyborg;Nekomamushi_Cyborg;1.307526,103.885526
74;289;"Geylang East Avenue 2";Yamato (Okama);Yamato_Okama;1.316978,103.888492
75;655;"Paya Lebar Road";Monkey D. Gang Bege;Monkey_D_Gang_Bege;1.317709,103.892050
76;284;"Aljunied Road";Donquixote Duke;Donquixote_Duke;1.324154,103.881058
77;953;"Lorong 38 Geylang";Dracule (Okama);Dracule_Okama;1.314343,103.888842
78;616;"Lorong 10 Geylang";X. Drake Gladiator;X_Drake_Gladiator;1.311060,103.877770
79;849;"Geylang East Avenue 1";X. Drake Fishman;X_Drake_Fishman;1.316644,103.885156
80;423;"Lorong 16 Geylang";Arlong Gang Bege;Arlong_Gang_Bege;1.311263,103.879935
81;755;"Aljunied Road";Tony Tony (Okama);Tony_Tony_Okama;1.329506,103.879412
82;370;"Jalan Dua";Crocodile Dancer;Crocodile_Dancer;1.309179,103.888446
83;846;"Geylang East Avenue 2";Shanks Cyborg;Shanks_Cyborg;1.316197,103.888081
84;628;"Aljunied Road";Crocodile God;Crocodile_God;1.331096,103.878988
85;732;"Guillemard Road";Yamato Zoro;Yamato_Zoro;1.312628,103.891373
86;384;"Lorong 28 Geylang";Shirahoshi Robin;Shirahoshi_Robin;1.313172,103.885564
87;46;"Jalan Enam";Brook Ace;Brook_Ace;1.307526,103.885526
88;522;"Guillemard Road";Enel Kid;Enel_Kid;1.312628,103.891373
89;182;"Aljunied Road";Enel Marine;Enel_Marine;1.331096,103.878988
90;358;"Lorong 16 Geylang";Roronoa Kid;Roronoa_Kid;1.312309,103.879837
91;454;"Jalan Dua";Sabo Ace;Sabo_Ace;1.308992,103.887518
92;286;"Sims Avenue";X. Drake Mr.2;X_Drake_Mr2;1.313754,103.876751
93;868;"Lorong 22 Geylang";X. Drake Teach;X_Drake_Teach;1.310695,103.882132
94;244;"Sims Avenue";Kozuki Zoro;Kozuki_Zoro;1.318016,103.898978
95;873;"Jalan Enam";Arlong Zoro;Arlong_Zoro;1.307526,103.885526
96;132;"Geylang Road";Kozuki Ace;Kozuki_Ace;1.315855,103.895967
97;404;"Jalan Enam";Crocodile Fishman;Crocodile_Fishman;1.307526,103.885526
98;732;"Lorong 28 Geylang";X. Drake Onigashima;X_Drake_Onigashima;1.313172,103.885564
99;87;"Lorong Bachok";Jewelry Luffy;Jewelry_Luffy;1.314037,103.880050
100;641;"Lorong 33 Geylang";Shanks Fishman;Shanks_Fishman;1.315935,103.887954
101;651;"Lorong 38 Geylang";Boa God;Boa_God;1.314343,103.888842
102;859;"Lorong 33 Geylang";Monkey D. Fishman;Monkey_D_Fishman;1.314257,103.887989
103;338;"Jalan Satu";Vinsmoke Law;Vinsmoke_Law;1.308417,103.889067
104;841;"Lorong 12 Geylang";Boa Mad Monk;Boa_Mad_Monk;1.311688,103.878273
105;477;"Sims Avenue";Marshall D. Law;Marshall_D_Law;1.316186,103.887524
106;28;"Lorong 12 Geylang";Shirahoshi Zoro;Shirahoshi_Zoro;1.311688,103.878273
107;4;"Lorong 33 Geylang";Buggy Kid;Buggy_Kid;1.315935,103.887954
108;562;"Sims Avenue";Boa Chopper;Boa_Chopper;1.313754,103.876751
109;731;"Lorong 12 Geylang";Arlong Dancer;Arlong_Dancer;1.311688,103.878273
110;634;"Tanjong Katong Road";Marshall D. Fishman;Marshall_D_Fishman;1.308121,103.895077
111;51;"Lorong 33 Geylang";Brook Kid;Brook_Kid;1.314257,103.887989
112;790;"Sims Avenue";Tony Tony Katakuri;Tony_Tony_Katakuri;1.319128,103.904389
113;219;"Lorong 40 Geylang";Enel Mad Monk;Enel_Mad_Monk;1.313164,103.889899
114;649;"Jalan Dua";Roronoa Marine;Roronoa_Marine;1.308992,103.887518
115;397;"Jalan Satu";Donquixote Onigashima;Donquixote_Onigashima;1.308417,103.889067
116;640;"Jalan Dua";Nekomamushi Sir;Nekomamushi_Sir;1.308992,103.887518
117;201;"Lorong Bachok";Marshall D. Luffy;Marshall_D_Luffy;1.313942,103.879613
118;672;"Jalan Dua";Nefertari God;Nefertari_God;1.308992,103.887518
119;68;"Lorong 27 Geylang";Donquixote Fishman;Donquixote_Fishman;1.313563,103.883757
