code(*);customer_id;first_name;street_number;street_name;city(*);country(*);coordinate;meter_serial
Urouge_Sanji;Urouge_Sanji;Urouge Sanji;56;"Guillemard Road";Singapore;Singapore;1.311185,103.885307;TEST_01
Shanks_Star_Clown;Shanks_Star_Clown;Shanks Star Clown;803;"Lorong 38 Geylang";Singapore;Singapore;1.314268,103.888856;01262493
Brook_Mihawk;Brook_Mihawk;Brook Mihawk;312;"Aljunied Road";Singapore;Singapore;1.322887,103.881316;01257796
Tony_Tony_Chopper;Tony_Tony_Chopper;Tony Tony Chopper;476;"Lorong 40 Geylang";Singapore;Singapore;1.312992,103.889933;01261813
Shanks_Gang_Bege;Shanks_Gang_Bege;Shanks Gang Bege;240;"Geylang Road";Singapore;Singapore;1.316096,103.897248;01262550
Tony_Tony_Mihawk;Tony_Tony_Mihawk;Tony Tony Mihawk;435;"Lorong 10 Geylang";Singapore;Singapore;1.311505,103.877669;01262419
Capone_Ace;Capone_Ace;Capone Ace;857;"Geylang Road";Singapore;Singapore;1.314322,103.888354;01262867
Jewelry_God;Jewelry_God;Jewelry God;353;"Geylang East Avenue 1";Singapore;Singapore;1.316649,103.885158;01260012
Bentham_Kid;Bentham_Kid;Bentham Kid;717;"Lorong 38 Geylang";Singapore;Singapore;1.314268,103.888856;01260303
Kozuki_Sanji;Kozuki_Sanji;Kozuki Sanji;12;"Jalan Satu";Singapore;Singapore;1.308453,103.889060;01259170
Buggy_Onigashima;Buggy_Onigashima;Buggy Onigashima;502;"Geylang East Central";Singapore;Singapore;1.320271,103.887383;01263810
Nico_God;Nico_God;Nico God;480;"Jalan Satu";Singapore;Singapore;1.308453,103.889060;01257734
Vinsmoke_Sir;Vinsmoke_Sir;Vinsmoke Sir;263;"Tanjong Katong Road";Singapore;Singapore;1.307772,103.895571;01262094
Nekomamushi_Marine;Nekomamushi_Marine;Nekomamushi Marine;795;"Sims Avenue";Singapore;Singapore;1.310484,103.870335;01262571
Portgas_D_Mermaid_Princess;Portgas_D_Mermaid_Princess;Portgas D. Mermaid Princess;20;"Lorong 10 Geylang";Singapore;Singapore;1.311505,103.877669;01261464
Bentham_Mad_Monk;Bentham_Mad_Monk;Bentham Mad Monk;915;"Jalan Dua";Singapore;Singapore;1.308984,103.887473;01263173
Dracule_Teach;Dracule_Teach;Dracule Teach;631;"Geylang Road";Singapore;Singapore;1.311765,103.875771;01263762
Vinsmoke_Hancock;Vinsmoke_Hancock;Vinsmoke Hancock;568;"Geylang East Avenue 1";Singapore;Singapore;1.316649,103.885158;01260889
Buggy_Zoro;Buggy_Zoro;Buggy Zoro;356;"Geylang Road";Singapore;Singapore;1.312682,103.880948;01257594
Tony_Tony_Marine;Tony_Tony_Marine;Tony Tony Marine;693;"Geylang East Avenue 2";Singapore;Singapore;1.316305,103.888140;01263689
Boa_Vivi;Boa_Vivi;Boa Vivi;343;"Lorong 10 Geylang";Singapore;Singapore;1.311505,103.877669;01257408
Dracule_Marine;Dracule_Marine;Dracule Marine;360;"Tanjong Katong Road";Singapore;Singapore;1.305358,103.896144;01258134
Portgas_D_Gang_Bege;Portgas_D_Gang_Bege;Portgas D. Gang Bege;866;"Lorong 25 Geylang";Singapore;Singapore;1.313488,103.882843;01263473
Dracule_Dancer;Dracule_Dancer;Dracule Dancer;705;"Geylang East Central";Singapore;Singapore;1.320271,103.887383;01257951
Arlong_Fishman;Arlong_Fishman;Arlong Fishman;503;"Lorong 25 Geylang";Singapore;Singapore;1.315701,103.882550;01261189
Vinsmoke_Bonney;Vinsmoke_Bonney;Vinsmoke Bonney;427;"Lorong 40 Geylang";Singapore;Singapore;1.312992,103.889933;01262224
X_Drake_Sir;X_Drake_Sir;X. Drake Sir;149;"Lorong 22 Geylang";Singapore;Singapore;1.311354,103.882128;01263362
Inuarashi_Fishman;Inuarashi_Fishman;Inuarashi Fishman;894;"Lorong 16 Geylang";Singapore;Singapore;1.311786,103.879886;01258375
Jewelry_Star_Clown;Jewelry_Star_Clown;Jewelry Star Clown;484;"Jalan Satu";Singapore;Singapore;1.308453,103.889060;01263177
Kozuki_Mad_Monk;Kozuki_Mad_Monk;Kozuki Mad Monk;22;"Lorong 16 Geylang";Singapore;Singapore;1.311786,103.879886;01262980
Inuarashi_Cat_Viper;Inuarashi_Cat_Viper;Inuarashi Cat Viper;325;"Lorong 12 Geylang";Singapore;Singapore;1.311688,103.878273;01262223
Marshall_D_Hancock;Marshall_D_Hancock;Marshall D. Hancock;195;"Lorong 10 Geylang";Singapore;Singapore;1.311505,103.877669;01257985
Sabo_Cyborg;Sabo_Cyborg;Sabo Cyborg;275;"Lorong 28 Geylang";Singapore;Singapore;1.312948,103.885577;01262114
Inuarashi_Dancer;Inuarashi_Dancer;Inuarashi Dancer;714;"Jalan Dua";Singapore;Singapore;1.308984,103.887473;01262431
Portgas_D_Star_Clown;Portgas_D_Star_Clown;Portgas D. Star Clown;663;"Lorong Bachok";Singapore;Singapore;1.313975,103.879763;01259314
Marshall_D_Vivi;Marshall_D_Vivi;Marshall D. Vivi;553;"Lorong Bachok";Singapore;Singapore;1.313975,103.879763;01257498
Inuarashi_Mad_Monk;Inuarashi_Mad_Monk;Inuarashi Mad Monk;998;"Jalan Satu";Singapore;Singapore;1.308453,103.889060;01257843
Roronoa_Revo;Roronoa_Revo;Roronoa Revo;530;"Guillemard Road";Singapore;Singapore;1.310910,103.884459;01264042
Arlong_Cat_Viper;Arlong_Cat_Viper;Arlong Cat Viper;349;"Aljunied Road";Singapore;Singapore;1.329290,103.879483;01258078
Roronoa_Mad_Monk;Roronoa_Mad_Monk;Roronoa Mad Monk;780;"Lorong 10 Geylang";Singapore;Singapore;1.311505,103.877669;01263560
Donquixote_Gladiator;Donquixote_Gladiator;Donquixote Gladiator;659;"Lorong 10 Geylang";Singapore;Singapore;1.311060,103.877770;01258189
Kozuki_Vivi;Kozuki_Vivi;Kozuki Vivi;69;"Jalan Enam";Singapore;Singapore;1.307526,103.885526;01263441
Enel_Luffy;Enel_Luffy;Enel Luffy;870;"Lorong 33 Geylang";Singapore;Singapore;1.315599,103.887786;01257806
Arlong_God;Arlong_God;Arlong God;96;"Lorong Bachok";Singapore;Singapore;1.313942,103.879613;01262501
Yamato_Gladiator;Yamato_Gladiator;Yamato Gladiator;795;"Geylang East Central";Singapore;Singapore;1.320271,103.887383;01262464
Shanks_Bonney;Shanks_Bonney;Shanks Bonney;19;"Lorong 28 Geylang";Singapore;Singapore;1.312279,103.885597;01260658
Brook_RedHaired;Brook_RedHaired;Brook Red-Haired;198;"Guillemard Road";Singapore;Singapore;1.310403,103.882010;01263076
Enel_Sanji;Enel_Sanji;Enel Sanji;976;"Sims Avenue";Singapore;Singapore;1.319128,103.904389;01261551
Roronoa_Mermaid_Princess;Roronoa_Mermaid_Princess;Roronoa Mermaid Princess;358;"Guillemard Road";Singapore;Singapore;1.310882,103.883859;01259009
X_Drake_Bonney;X_Drake_Bonney;X. Drake Bonney;449;"Lorong 28 Geylang";Singapore;Singapore;1.312589,103.885594;01263247
Buggy_Sanji;Buggy_Sanji;Buggy Sanji;362;"Lorong 22 Geylang";Singapore;Singapore;1.310695,103.882132;01263245
Kozuki_Revo;Kozuki_Revo;Kozuki Revo;374;"Lorong 22 Geylang";Singapore;Singapore;1.310695,103.882132;01263639
Roronoa_Teach;Roronoa_Teach;Roronoa Teach;732;"Lorong 33 Geylang";Singapore;Singapore;1.314985,103.887829;01258861
Yamato_RedHaired;Yamato_RedHaired;Yamato Red-Haired;31;"Lorong 12 Geylang";Singapore;Singapore;1.310388,103.878782;01258243
Portgas_D_Hancock;Portgas_D_Hancock;Portgas D. Hancock;300;"Lorong Bachok";Singapore;Singapore;1.313942,103.879613;01259069
Enel_Sir;Enel_Sir;Enel Sir;441;"Jalan Dua";Singapore;Singapore;1.308992,103.887518;01258042
Eustass_Ace;Eustass_Ace;Eustass Ace;644;"Geylang East Central";Singapore;Singapore;1.320271,103.887383;01262619
Marshall_D_Fishman;Marshall_D_Fishman;Marshall D. Fishman;875;"Aljunied Road";Singapore;Singapore;1.325398,103.880874;01257591
Monkey_D_Katakuri;Monkey_D_Katakuri;Monkey D. Katakuri;574;"Jalan Satu";Singapore;Singapore;1.308417,103.889067;01261794
