code(*);customer_id;first_name;street_number;street_name;city(*);country(*);coordinate;meter_serial
Portgas_D_Merma;Portgas_D_Merma;Portgas D Mermaid Princess;20;"Lorong 10 Geylang";Singapore;Singapore;1.311505,103.877669;01261464
Portgas_D_Gang_;Portgas_D_Gang_;Portgas D Gang Bege;866;"Lorong 25 Geylang";Singapore;Singapore;1.313488,103.882843;01263473
X_Drake_Sir;X_Drake_Sir;X Drake Sir;149;"Lorong 22 Geylang";Singapore;Singapore;1.311354,103.882128;01263362
Marshall_D_Hanc;Marshall_D_Hanc;Marshall D Hancock;195;"Lorong 10 Geylang";Singapore;Singapore;1.311505,103.877669;01257985
Portgas_D_Star_;Portgas_D_Star_;Portgas D Star Clown;663;"Lorong Bachok";Singapore;Singapore;1.313975,103.879763;01259314
Marshall_D_Vivi;Marshall_D_Vivi;Marshall D Vivi;553;"Lorong Bachok";Singapore;Singapore;1.313975,103.879763;01257498
X_Drake_Bonney;X_Drake_Bonney;X Drake Bonney;449;"Lorong 28 Geylang";Singapore;Singapore;1.312589,103.885594;01263247
Portgas_D_Hanco;Portgas_D_Hanco;Portgas D Hancock;300;"Lorong Bachok";Singapore;Singapore;1.313942,103.879613;01259069
Marshall_D_Fish;Marshall_D_Fish;Marshall D Fishman;875;"Aljunied Road";Singapore;Singapore;1.325398,103.880874;01257591
Monkey_D_Kataku;Monkey_D_Kataku;Monkey D Katakuri;574;"Jalan Satu";Singapore;Singapore;1.308417,103.889067;01261794
Trafalgar_D_Duk;Trafalgar_D_Duk;Trafalgar D Duke;260;"Lorong 38 Geylang";Singapore;Singapore;1.314343,103.888842;01263157
Trafalgar_D_Cat;Trafalgar_D_Cat;Trafalgar D Cat Viper;715;"Lorong 16 Geylang";Singapore;Singapore;1.311263,103.879935;01262575
Monkey_D_Gang_B;Monkey_D_Gang_B;Monkey D Gang Bege;655;"Paya Lebar Road";Singapore;Singapore;1.317709,103.892050;01258862
X_Drake_Gladiat;X_Drake_Gladiat;X Drake Gladiator;616;"Lorong 10 Geylang";Singapore;Singapore;1.311060,103.877770;01262207
X_Drake_Fishman;X_Drake_Fishman;X Drake Fishman;849;"Geylang East Avenue 1";Singapore;Singapore;1.316644,103.885156;01260864
X_Drake_Mr2;X_Drake_Mr2;X Drake Mr2;286;"Sims Avenue";Singapore;Singapore;1.313754,103.876751;01263234
X_Drake_Teach;X_Drake_Teach;X Drake Teach;868;"Lorong 22 Geylang";Singapore;Singapore;1.310695,103.882132;01260951
X_Drake_Onigash;X_Drake_Onigash;X Drake Onigashima;732;"Lorong 28 Geylang";Singapore;Singapore;1.313172,103.885564;01263521
Monkey_D_Fishma;Monkey_D_Fishma;Monkey D Fishman;859;"Lorong 33 Geylang";Singapore;Singapore;1.314257,103.887989;01263305
Marshall_D_Law;Marshall_D_Law;Marshall D Law;477;"Sims Avenue";Singapore;Singapore;1.316186,103.887524;01264045
Marshall_D_Fish;Marshall_D_Fish;Marshall D Fishman;634;"Tanjong Katong Road";Singapore;Singapore;1.308121,103.895077;01262515
Marshall_D_Luff;Marshall_D_Luff;Marshall D Luffy;201;"Lorong Bachok";Singapore;Singapore;1.313942,103.879613;01257817
Monkey_D_Mad_Mo;Monkey_D_Mad_Mo;Monkey D Mad Monk;920;"Tanjong Katong Road";Singapore;Singapore;1.304707,103.896406;01260606
X_Drake_Oden;X_Drake_Oden;X Drake Oden;918;"Tanjong Katong Road";Singapore;Singapore;1.304707,103.896406;01262726
Portgas_D_Kid;Portgas_D_Kid;Portgas D Kid;524;"Jalan Satu";Singapore;Singapore;1.308417,103.889067;01262683
Enel_Mr2;Enel_Mr2;Enel Mr2;781;"Jalan Satu";Singapore;Singapore;1.308417,103.889067;01263090
